,Checking Account,Duration,Credit History,Purpose,Credit Amount,Saving Account,Employment Status,Installment Rate,Personal Status,Guarantors,Years in current address,Property,Age,Installment plans,Housing,Existing Credits,Job,Liable,Risk
36,No Account,48,default,education,6110,little,1 to <4 years,1,male   : single,none,3,no property,31,bank,for free,1,skilled employee,1,good
37,rich,18,paid back,radio/television,2100,little,1 to <4 years,4,male   : single,co-applicant,2,real estate,37,stores,own,1,skilled employee,1,bad
38,rich,10,paid back,domestic appliances,1225,little,1 to <4 years,2,male   : single,none,2,car,37,none,own,1,skilled employee,1,good
39,moderate,9,paid back,radio/television,458,little,1 to <4 years,4,male   : single,none,3,real estate,24,none,own,1,skilled employee,1,good
40,No Account,30,paid back,radio/television,2333,quite rich,>= 7 years,4,male   : single,none,2,car,30,bank,own,1,management/highly qualified employee,1,good
41,moderate,12,paid back,radio/television,1158,quite rich,1 to <4 years,3,male   : divorced/separated,none,1,car,26,none,own,1,skilled employee,1,good
42,moderate,18,delay,repairs,6204,little,1 to <4 years,2,male   : single,none,4,real estate,44,none,own,1,unskilled/resident,2,good
43,little,30,default,car,6187,moderate,4 to <7 years,1,male   : married/widowed,none,4,car,24,none,rent,2,skilled employee,1,good
44,little,48,default,car,6143,little,>= 7 years,4,female : divorced/separated/married,none,4,no property,58,stores,for free,2,unskilled/resident,1,bad
45,No Account,11,default,car,1393,little,< 1 year,4,female : divorced/separated/married,none,4,car,35,none,own,2,management/highly qualified employee,1,good
46,No Account,36,paid back,radio/television,2299,quite rich,>= 7 years,4,male   : single,none,4,car,39,none,own,1,skilled employee,1,good
47,little,6,paid back,car,1352,quite rich,unemployed,1,female : divorced/separated/married,none,2,life insurance,23,none,rent,1,unemployed/non-resident,1,good
48,No Account,11,default,car,7228,little,1 to <4 years,1,male   : single,none,4,life insurance,39,none,own,2,unskilled/resident,1,good
49,No Account,12,paid back,radio/television,2073,moderate,1 to <4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee,1,good
50,moderate,24,delay,furniture/equipment,2333,unknown,< 1 year,4,male   : single,none,2,life insurance,29,bank,own,1,unskilled/resident,1,good
51,moderate,27,delay,car,5965,little,>= 7 years,1,male   : single,none,2,car,30,none,own,2,management/highly qualified employee,1,good
52,No Account,12,paid back,radio/television,1262,little,1 to <4 years,3,male   : single,none,2,car,25,none,own,1,skilled employee,1,good
53,No Account,18,paid back,car,3378,unknown,1 to <4 years,2,male   : single,none,1,life insurance,31,none,own,1,skilled employee,1,good
54,moderate,36,delay,car,2225,little,>= 7 years,4,male   : single,none,4,no property,57,bank,for free,2,skilled employee,1,bad
55,No Account,6,paid back,car,783,unknown,1 to <4 years,1,male   : single,guarantor,2,real estate,26,stores,own,1,unskilled/resident,2,good
56,moderate,12,paid back,radio/television,6468,unknown,unemployed,2,male   : single,none,1,no property,52,none,own,1,management/highly qualified employee,1,bad
57,No Account,36,default,radio/television,9566,little,1 to <4 years,2,female : divorced/separated/married,none,2,car,31,stores,own,2,skilled employee,1,good
58,rich,18,paid back,car,1961,little,>= 7 years,3,female : divorced/separated/married,none,2,car,23,none,own,1,management/highly qualified employee,1,good
59,little,36,default,furniture/equipment,6229,little,< 1 year,4,female : divorced/separated/married,co-applicant,4,no property,23,none,rent,2,unskilled/resident,1,bad
60,moderate,9,paid back,business,1391,little,1 to <4 years,2,male   : married/widowed,none,1,real estate,27,bank,own,1,skilled employee,1,good
61,moderate,15,default,radio/television,1537,unknown,>= 7 years,4,male   : single,guarantor,4,real estate,50,none,own,2,skilled employee,1,good
62,moderate,36,paid back,business,1953,little,>= 7 years,4,male   : single,none,4,no property,61,none,for free,1,management/highly qualified employee,1,bad
63,moderate,48,paid back,business,14421,little,1 to <4 years,2,male   : single,none,2,car,25,none,own,1,skilled employee,1,bad
64,No Account,24,paid back,radio/television,3181,little,< 1 year,4,female : divorced/separated/married,none,4,life insurance,26,none,own,1,skilled employee,1,good
65,No Account,27,paid back,repairs,5190,unknown,>= 7 years,4,male   : single,none,4,life insurance,48,none,own,4,skilled employee,2,good
66,No Account,12,paid back,radio/television,2171,little,< 1 year,2,female : divorced/separated/married,none,2,car,29,bank,own,1,skilled employee,1,good
67,moderate,12,paid back,car,1007,rich,1 to <4 years,4,male   : married/widowed,none,1,real estate,22,none,own,1,skilled employee,1,good
68,No Account,36,paid back,education,1819,little,1 to <4 years,4,male   : single,none,4,no property,37,stores,for free,1,skilled employee,1,bad
69,No Account,36,paid back,radio/television,2394,unknown,1 to <4 years,4,female : divorced/separated/married,none,4,car,25,none,own,1,skilled employee,1,good
70,No Account,36,paid back,car,8133,little,1 to <4 years,1,female : divorced/separated/married,none,2,life insurance,30,bank,own,1,skilled employee,1,good
71,No Account,7,default,radio/television,730,unknown,>= 7 years,4,male   : single,none,2,life insurance,46,none,rent,2,unskilled/resident,1,good
72,little,8,default,others,1164,little,>= 7 years,3,male   : single,none,4,no property,51,bank,for free,2,management/highly qualified employee,2,good
73,moderate,42,default,business,5954,little,4 to <7 years,2,female : divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled/resident,1,good
74,little,36,paid back,education,1977,unknown,>= 7 years,4,male   : single,none,4,no property,40,none,own,1,management/highly qualified employee,1,bad
75,little,12,default,car,1526,little,>= 7 years,4,male   : single,none,4,no property,66,none,for free,2,management/highly qualified employee,1,good
76,little,42,paid back,radio/television,3965,little,< 1 year,4,male   : single,none,3,car,34,none,own,1,skilled employee,1,bad
77,moderate,11,delay,radio/television,4771,little,4 to <7 years,2,male   : single,none,4,life insurance,51,none,own,1,skilled employee,1,good
78,No Account,54,paid back,car,9436,unknown,1 to <4 years,2,male   : single,none,2,life insurance,39,none,own,1,unskilled/resident,2,good
79,moderate,30,paid back,furniture/equipment,3832,little,< 1 year,2,male   : married/widowed,none,1,life insurance,22,none,own,1,skilled employee,1,good
80,No Account,24,paid back,radio/television,5943,unknown,< 1 year,1,female : divorced/separated/married,none,1,car,44,none,own,2,skilled employee,1,bad
81,No Account,15,paid back,radio/television,1213,quite rich,>= 7 years,4,male   : single,none,3,life insurance,47,stores,own,1,skilled employee,1,good
82,No Account,18,paid back,business,1568,moderate,1 to <4 years,3,female : divorced/separated/married,none,4,life insurance,24,none,rent,1,unskilled/resident,1,good
83,little,24,paid back,others,1755,little,>= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled/resident,1,good
84,little,10,paid back,radio/television,2315,little,>= 7 years,3,male   : single,none,4,real estate,52,none,own,1,unskilled/resident,1,good
85,No Account,12,default,business,1412,little,1 to <4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/highly qualified employee,1,good
86,moderate,18,default,furniture/equipment,1295,little,< 1 year,4,female : divorced/separated/married,none,1,life insurance,27,none,own,2,skilled employee,1,good
87,moderate,36,paid back,education,12612,moderate,1 to <4 years,1,male   : single,none,4,no property,47,none,for free,1,skilled employee,2,bad
88,little,18,paid back,car,2249,moderate,4 to <7 years,4,male   : single,none,3,car,30,none,own,1,management/highly qualified employee,2,good
89,little,12,paid back,repairs,1108,little,4 to <7 years,4,male   : single,none,3,real estate,28,none,own,2,skilled employee,1,bad
90,No Account,12,default,radio/television,618,little,>= 7 years,4,male   : single,none,4,real estate,56,none,own,1,skilled employee,1,good
91,little,12,default,car,1409,little,>= 7 years,4,male   : single,none,3,real estate,54,none,own,1,skilled employee,1,good
92,No Account,12,default,radio/television,797,unknown,>= 7 years,4,female : divorced/separated/married,none,3,life insurance,33,bank,own,1,unskilled/resident,2,bad
93,rich,24,default,furniture/equipment,3617,unknown,>= 7 years,4,male   : single,co-applicant,4,no property,20,none,rent,2,skilled employee,1,good
94,moderate,12,paid back,car,1318,rich,>= 7 years,4,male   : single,none,4,real estate,54,none,own,1,skilled employee,1,good
95,moderate,54,paid back,business,15945,little,< 1 year,3,male   : single,none,4,no property,58,none,rent,1,skilled employee,1,bad
96,No Account,12,default,education,2012,unknown,4 to <7 years,4,female : divorced/separated/married,none,2,car,61,none,own,1,skilled employee,1,good
97,moderate,18,paid back,business,2622,moderate,1 to <4 years,4,male   : single,none,4,car,34,none,own,1,skilled employee,1,good
98,moderate,36,default,radio/television,2337,little,>= 7 years,4,male   : single,none,4,real estate,36,none,own,1,skilled employee,1,good
99,moderate,20,delay,car,7057,unknown,4 to <7 years,3,male   : single,none,4,life insurance,36,bank,rent,2,management/highly qualified employee,2,good
100,No Account,24,paid back,car,1469,moderate,>= 7 years,4,male   : married/widowed,none,4,real estate,41,none,rent,1,unskilled/resident,1,good
101,moderate,36,paid back,radio/television,2323,little,4 to <7 years,4,male   : single,none,4,car,24,none,rent,1,skilled employee,1,good
102,No Account,6,delay,radio/television,932,little,1 to <4 years,3,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee,1,good
103,moderate,9,default,furniture/equipment,1919,little,4 to <7 years,4,male   : single,none,3,car,35,none,rent,1,skilled employee,1,good
104,No Account,12,paid back,car,2445,unknown,< 1 year,2,male   : married/widowed,none,4,car,26,none,rent,1,skilled employee,1,good
105,moderate,24,default,others,11938,little,1 to <4 years,2,male   : single,co-applicant,3,car,39,none,own,2,management/highly qualified employee,2,bad
106,No Account,18,paid back,car,6458,little,>= 7 years,2,male   : single,none,4,no property,39,bank,own,2,management/highly qualified employee,2,bad
107,moderate,12,paid back,car,6078,little,4 to <7 years,2,male   : single,none,2,car,32,none,own,1,skilled employee,1,good
108,little,24,paid back,furniture/equipment,7721,unknown,< 1 year,1,female : divorced/separated/married,none,2,life insurance,30,none,own,1,skilled employee,1,good
109,moderate,14,paid back,business,1410,quite rich,>= 7 years,1,male   : married/widowed,none,2,real estate,35,none,own,1,skilled employee,1,good
110,moderate,6,delay,business,1449,moderate,>= 7 years,1,male   : divorced/separated,none,2,car,31,bank,own,2,skilled employee,2,good
111,rich,15,paid back,education,392,little,< 1 year,4,female : divorced/separated/married,none,4,life insurance,23,none,rent,1,skilled employee,1,good
112,moderate,18,paid back,car,6260,little,4 to <7 years,3,male   : single,none,3,real estate,28,none,rent,1,unskilled/resident,1,good
113,No Account,36,default,car,7855,little,1 to <4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee,1,bad
114,little,12,paid back,radio/television,1680,quite rich,>= 7 years,3,male   : married/widowed,none,1,real estate,35,none,own,1,skilled employee,1,good
115,No Account,48,default,radio/television,3578,unknown,>= 7 years,4,male   : single,none,1,real estate,47,none,own,1,skilled employee,1,good
116,little,42,paid back,radio/television,7174,unknown,4 to <7 years,4,female : divorced/separated/married,none,3,car,30,none,own,1,management/highly qualified employee,1,bad
117,little,10,default,furniture/equipment,2132,unknown,< 1 year,2,female : divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee,1,good
118,little,33,default,furniture/equipment,4281,quite rich,1 to <4 years,1,female : divorced/separated/married,none,4,car,23,none,own,2,skilled employee,1,bad
119,moderate,12,default,car,2366,quite rich,4 to <7 years,3,male   : divorced/separated,none,3,car,36,none,own,1,management/highly qualified employee,1,good
120,little,21,paid back,radio/television,1835,little,1 to <4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee,1,bad
121,No Account,24,default,car,3868,little,>= 7 years,4,female : divorced/separated/married,none,2,car,41,none,rent,2,management/highly qualified employee,1,good
122,No Account,12,paid back,furniture/equipment,1768,little,1 to <4 years,3,male   : single,none,2,real estate,24,none,rent,1,unskilled/resident,1,good
123,rich,10,default,car,781,little,>= 7 years,4,male   : single,none,4,no property,63,none,for free,2,skilled employee,1,good
124,moderate,18,paid back,furniture/equipment,1924,unknown,< 1 year,4,female : divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee,1,bad
125,little,12,default,car,2121,little,1 to <4 years,4,male   : single,none,2,life insurance,30,none,own,2,skilled employee,1,good
126,little,12,paid back,radio/television,701,little,1 to <4 years,4,male   : married/widowed,none,2,real estate,40,none,own,1,unskilled/resident,1,good
127,moderate,12,paid back,repairs,639,little,1 to <4 years,4,male   : single,none,2,car,30,none,own,1,skilled employee,1,bad
128,moderate,12,default,car,1860,little,unemployed,4,male   : single,none,2,car,34,none,own,2,management/highly qualified employee,1,good
129,little,12,default,car,3499,little,1 to <4 years,3,female : divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee,1,bad
130,moderate,48,paid back,car,8487,unknown,4 to <7 years,1,female : divorced/separated/married,none,2,car,24,none,own,1,skilled employee,1,good
131,little,36,delay,education,6887,little,1 to <4 years,4,male   : single,none,3,life insurance,29,stores,own,1,skilled employee,1,bad
132,No Account,15,paid back,furniture/equipment,2708,little,< 1 year,2,male   : single,none,3,life insurance,27,bank,own,2,unskilled/resident,1,good
133,No Account,18,paid back,furniture/equipment,1984,little,1 to <4 years,4,male   : single,none,4,no property,47,bank,for free,2,skilled employee,1,good
134,No Account,60,paid back,radio/television,10144,moderate,4 to <7 years,2,female : divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee,1,good
135,No Account,12,default,radio/television,1240,unknown,>= 7 years,4,female : divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee,1,good
136,No Account,27,delay,car,8613,rich,1 to <4 years,2,male   : single,none,2,car,27,none,own,2,skilled employee,1,good
137,moderate,12,paid back,radio/television,766,quite rich,1 to <4 years,4,male   : single,none,3,real estate,66,none,own,1,unskilled/resident,1,bad
138,moderate,15,default,radio/television,2728,unknown,4 to <7 years,4,male   : single,guarantor,2,real estate,35,bank,own,3,skilled employee,1,good
139,rich,12,paid back,radio/television,1881,little,1 to <4 years,2,female : divorced/separated/married,none,2,car,44,none,rent,1,unskilled/resident,1,good
140,rich,6,paid back,car,709,rich,< 1 year,2,male   : married/widowed,none,2,real estate,27,none,own,1,unemployed/non-resident,1,good
141,moderate,36,paid back,radio/television,4795,little,< 1 year,4,female : divorced/separated/married,none,1,no property,30,none,own,1,management/highly qualified employee,1,good
142,little,27,paid back,radio/television,3416,little,1 to <4 years,3,male   : single,none,2,car,27,none,own,1,management/highly qualified employee,1,good
143,little,18,paid back,furniture/equipment,2462,little,1 to <4 years,2,male   : single,none,2,car,22,none,own,1,skilled employee,1,bad
144,No Account,21,default,furniture/equipment,2288,little,< 1 year,4,female : divorced/separated/married,none,4,life insurance,23,none,own,1,skilled employee,1,good
145,moderate,48,paid back,business,3566,moderate,4 to <7 years,4,male   : single,none,2,car,30,none,own,1,skilled employee,1,good
146,little,6,default,car,860,little,>= 7 years,1,female : divorced/separated/married,none,4,no property,39,none,own,2,skilled employee,1,good
147,No Account,12,default,car,682,moderate,4 to <7 years,4,female : divorced/separated/married,none,3,car,51,none,own,2,skilled employee,1,good
148,little,36,default,furniture/equipment,5371,little,1 to <4 years,3,male   : single,guarantor,2,life insurance,28,none,own,2,skilled employee,1,good
149,No Account,18,default,radio/television,1582,rich,>= 7 years,4,male   : single,none,4,car,46,none,own,2,skilled employee,1,good
150,No Account,6,paid back,radio/television,1346,moderate,>= 7 years,2,male   : single,none,4,no property,42,bank,for free,1,skilled employee,2,good
151,No Account,10,paid back,radio/television,1924,little,1 to <4 years,1,male   : single,none,4,life insurance,38,none,own,1,skilled employee,1,good
152,rich,36,paid back,radio/television,5848,little,1 to <4 years,4,male   : single,none,1,car,24,none,own,1,skilled employee,1,good
153,moderate,24,default,car,7758,rich,>= 7 years,2,female : divorced/separated/married,none,4,no property,29,none,rent,1,skilled employee,1,good
154,moderate,24,delay,business,6967,moderate,4 to <7 years,4,male   : single,none,4,car,36,none,rent,1,management/highly qualified employee,1,good
155,little,12,paid back,furniture/equipment,1282,little,1 to <4 years,2,female : divorced/separated/married,none,4,car,20,none,rent,1,skilled employee,1,bad
156,little,9,default,repairs,1288,moderate,>= 7 years,3,male   : single,guarantor,4,real estate,48,none,own,2,skilled employee,2,good
157,little,12,paid back,retraining,339,little,>= 7 years,4,male   : married/widowed,none,1,car,45,bank,own,1,unskilled/resident,1,good
158,moderate,24,paid back,car,3512,moderate,4 to <7 years,2,male   : single,none,3,car,38,bank,own,2,skilled employee,1,good
159,No Account,6,default,radio/television,1898,unknown,1 to <4 years,1,male   : single,none,2,real estate,34,none,own,2,unskilled/resident,2,good
160,No Account,24,default,radio/television,2872,moderate,>= 7 years,3,male   : single,none,4,real estate,36,none,own,1,skilled employee,2,good
161,No Account,18,default,car,1055,little,< 1 year,4,female : divorced/separated/married,none,1,life insurance,30,none,own,2,skilled employee,1,good
162,No Account,15,paid back,domestic appliances,1262,quite rich,4 to <7 years,4,male   : single,none,3,life insurance,36,none,own,2,skilled employee,1,good
163,moderate,10,paid back,car,7308,little,unemployed,2,male   : single,none,4,no property,70,bank,for free,1,management/highly qualified employee,1,good
164,No Account,36,paid back,car,909,quite rich,>= 7 years,4,male   : single,none,4,life insurance,36,none,own,1,skilled employee,1,good
165,No Account,6,paid back,furniture/equipment,2978,quite rich,1 to <4 years,1,male   : single,none,2,car,32,none,own,1,skilled employee,1,good
166,little,18,paid back,furniture/equipment,1131,little,unemployed,4,female : divorced/separated/married,none,2,car,33,none,own,1,skilled employee,1,bad
167,moderate,11,paid back,furniture/equipment,1577,rich,< 1 year,4,female : divorced/separated/married,none,1,real estate,20,none,own,1,skilled employee,1,good
168,No Account,24,paid back,furniture/equipment,3972,little,4 to <7 years,2,female : divorced/separated/married,none,4,life insurance,25,none,rent,1,skilled employee,1,good
169,moderate,24,default,business,1935,little,>= 7 years,4,male   : divorced/separated,none,4,real estate,31,none,own,2,skilled employee,1,bad
170,little,15,paid back,car,950,little,>= 7 years,4,male   : single,none,3,car,33,none,rent,2,skilled employee,2,bad
171,No Account,12,paid back,furniture/equipment,763,little,1 to <4 years,4,female : divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee,1,good
172,moderate,24,delay,furniture/equipment,2064,little,unemployed,3,female : divorced/separated/married,none,2,life insurance,34,none,own,1,management/highly qualified employee,1,bad
173,moderate,8,paid back,radio/television,1414,little,1 to <4 years,4,male   : single,guarantor,2,real estate,33,none,own,1,skilled employee,1,good
174,little,21,delay,education,3414,little,< 1 year,2,male   : single,none,1,life insurance,26,none,own,2,skilled employee,1,bad
175,No Account,30,paid back,car,7485,unknown,unemployed,4,female : divorced/separated/married,none,1,real estate,53,bank,own,1,management/highly qualified employee,1,bad
176,little,12,paid back,furniture/equipment,2577,little,1 to <4 years,2,male   : divorced/separated,none,1,car,42,none,own,1,skilled employee,1,good
177,little,6,default,radio/television,338,quite rich,>= 7 years,4,male   : single,none,4,car,52,none,own,2,skilled employee,1,good
178,No Account,12,paid back,radio/television,1963,little,4 to <7 years,4,male   : single,none,2,car,31,none,rent,2,management/highly qualified employee,2,good
179,little,21,default,car,571,little,>= 7 years,4,male   : single,none,4,real estate,65,none,own,2,skilled employee,1,good
180,No Account,36,delay,business,9572,little,< 1 year,1,male   : divorced/separated,none,1,car,28,none,own,2,skilled employee,1,bad
181,moderate,36,delay,business,4455,little,1 to <4 years,2,male   : divorced/separated,none,2,real estate,30,stores,own,2,management/highly qualified employee,1,bad
182,little,21,paid back,car,1647,unknown,1 to <4 years,4,male   : single,none,2,life insurance,40,none,own,2,unskilled/resident,2,bad
183,No Account,24,default,furniture/equipment,3777,rich,1 to <4 years,4,male   : single,none,4,real estate,50,none,own,1,skilled employee,1,good
184,moderate,18,default,car,884,little,>= 7 years,4,male   : single,none,4,car,36,bank,own,1,skilled employee,2,bad
185,No Account,15,default,radio/television,1360,little,1 to <4 years,4,male   : single,none,2,life insurance,31,none,own,2,skilled employee,1,good
186,moderate,9,paid back,car,5129,little,>= 7 years,2,female : divorced/separated/married,none,4,no property,74,bank,for free,1,management/highly qualified employee,2,bad
187,moderate,16,default,car,1175,little,unemployed,2,male   : single,none,3,car,68,none,for free,3,unemployed/non-resident,1,good
188,little,12,paid back,radio/television,674,moderate,4 to <7 years,4,male   : married/widowed,none,1,life insurance,20,none,own,1,skilled employee,1,bad
189,moderate,18,paid back,furniture/equipment,3244,little,1 to <4 years,1,female : divorced/separated/married,none,4,car,33,bank,own,2,skilled employee,1,good
190,No Account,24,paid back,business,4591,rich,1 to <4 years,2,male   : single,none,3,life insurance,54,none,own,3,management/highly qualified employee,1,bad
191,moderate,48,paid back,business,3844,moderate,4 to <7 years,4,male   : single,none,4,no property,34,none,for free,1,unskilled/resident,2,bad
192,moderate,27,paid back,business,3915,little,1 to <4 years,4,male   : single,none,2,car,36,none,own,1,skilled employee,2,bad
193,No Account,6,paid back,radio/television,2108,little,4 to <7 years,2,male   : married/widowed,none,2,real estate,29,none,rent,1,skilled employee,1,good
194,moderate,45,paid back,radio/television,3031,moderate,1 to <4 years,4,male   : single,guarantor,4,life insurance,21,none,rent,1,skilled employee,1,bad
195,moderate,9,default,education,1501,little,>= 7 years,2,female : divorced/separated/married,none,3,car,34,none,own,2,management/highly qualified employee,1,bad
196,No Account,6,default,radio/television,1382,little,1 to <4 years,1,female : divorced/separated/married,none,1,car,28,none,own,2,skilled employee,1,good
197,moderate,12,paid back,furniture/equipment,951,moderate,< 1 year,4,female : divorced/separated/married,none,4,car,27,bank,rent,4,skilled employee,1,bad
198,moderate,24,paid back,car,2760,unknown,>= 7 years,4,male   : single,none,4,no property,36,bank,for free,1,skilled employee,1,good
199,moderate,18,delay,furniture/equipment,4297,little,>= 7 years,4,male   : divorced/separated,none,3,no property,40,none,own,1,management/highly qualified employee,1,bad
200,No Account,9,default,education,936,quite rich,>= 7 years,4,male   : single,none,2,car,52,none,own,2,skilled employee,1,good
201,little,12,paid back,car,1168,little,1 to <4 years,4,male   : married/widowed,none,3,real estate,27,none,own,1,unskilled/resident,1,good
202,No Account,27,delay,business,5117,little,4 to <7 years,3,male   : single,none,4,car,26,none,own,2,skilled employee,1,good
203,little,12,paid back,retraining,902,little,4 to <7 years,4,male   : married/widowed,none,4,life insurance,21,none,rent,1,skilled employee,1,bad
204,No Account,12,default,car,1495,little,>= 7 years,4,male   : single,none,1,real estate,38,none,own,2,unskilled/resident,2,good
205,little,30,default,car,10623,little,>= 7 years,3,male   : single,none,4,no property,38,none,for free,3,management/highly qualified employee,2,good
206,No Account,12,default,furniture/equipment,1935,little,>= 7 years,4,male   : single,none,4,real estate,43,none,own,3,skilled employee,1,good
207,moderate,12,default,domestic appliances,1424,little,4 to <7 years,4,male   : single,none,3,life insurance,26,none,own,1,skilled employee,1,good
208,little,24,paid back,business,6568,little,1 to <4 years,2,male   : married/widowed,none,2,car,21,stores,own,1,unskilled/resident,1,good
209,No Account,12,paid back,car,1413,rich,4 to <7 years,3,male   : single,none,2,life insurance,55,none,own,1,skilled employee,1,good
210,No Account,9,default,radio/television,3074,unknown,1 to <4 years,1,male   : single,none,2,real estate,33,none,own,2,skilled employee,2,good
211,No Account,36,paid back,radio/television,3835,unknown,>= 7 years,2,female : divorced/separated/married,none,4,real estate,45,none,own,1,unskilled/resident,1,good
212,little,27,paid back,business,5293,little,unemployed,2,male   : single,none,4,life insurance,50,stores,own,2,skilled employee,1,bad
